temp,rh,lighting,score
26,30,139,3
26,30,139,3
26,31,148,2
26,31,148,2
26,31,153,2
26,31,153,2
26,30,157,3
26,30,157,3
26,30,147,3
26,30,147,3
26,29,148,3
26,29,148,3
26,29,161,3
26,29,161,3
26,29,169,3
26,29,169,3
26,29,172,3
26,29,172,3
26,29,151,3
26,29,151,3
26,29,155,3
26,29,155,3
26,29,163,3
26,29,163,3
26,29,160,3
26,29,160,3
26,29,162,3
26,29,162,3
26,29,153,3
26,29,153,3
25,29,144,3
25,29,144,3
25,29,142,3
25,29,142,3
25,30,128,3
25,30,128,3
26,30,0,3
26,30,0,3
26,30,161,4
26,30,161,4
26,30,143,3
26,30,143,3
26,30,159,3
26,30,159,3
26,30,145,3
26,30,145,3
26,30,160,3
26,30,160,3
26,30,161,3
26,30,161,3
26,30,95,3
26,30,95,3
26,33,70,3
26,33,70,3
26,35,148,2
26,35,148,2
26,36,172,1
26,36,172,1
26,36,181,1
26,36,181,1
26,36,174,1
26,36,174,1
26,37,140,1
26,37,140,1
26,40,160,1
26,40,160,1
25,38,144,1
25,38,144,1
26,36,158,1
26,36,158,1
26,34,0,3
26,34,0,3
26,32,160,3
26,32,160,3
26,31,165,2
26,31,165,2
26,31,160,2
26,31,160,2
26,30,74,3
26,30,74,3
26,31,154,2
26,31,154,2
25,35,161,2
25,35,161,2
26,34,161,2
26,34,161,2
26,33,162,2
26,33,162,2
26,32,161,2
26,32,161,2
25,32,156,2
25,32,156,2
26,31,165,2
26,31,165,2
25,31,142,2
25,31,142,2
25,31,156,2
25,31,156,2
25,31,148,2
25,31,148,2
26,30,162,3
26,30,162,3
25,30,156,3
25,30,156,3
25,30,139,3
25,30,139,3
25,30,147,3
25,30,147,3
25,30,136,3
25,30,136,3
25,31,144,2
25,31,144,2
